"A00","Colera"
"I616","Emorragia intracerebrale a localizzazione multipla"
"I618","Altre forme di emorragia intracerebrale"
"I619","Emorragia intracerebrale non specificata"
"I620","Emorragia subdurale (acuta) (non traumatica)"
"I621","Emorragia extradurale non traumatica"
"I629","Emorragia intracranica (non traumatica) non specificata"
"I630","Infarto cerebrale da trombosi di arterie precerebrali"
"I631","Infarto cerebrale da embolia di arterie  precerebrali"
"I632","Infarto cerebrale da occlusione o stenosi non specificata di arterie precerebrali"
"I633","Infarto cerebrale da trombosi delle arterie cerebrali"
"I634","Infarto cerebrale da embolia delle arterie cerebrali"
"I635","Infarto cerebrale da occlusione o stenosi non specificata delle arterie cerebrali"
"I636","Infarto cerebrale da trombosi venosa cerebrale, non piogena"
"I638","Altre forme di infarto cerebrale"
"I639","Infarto cerebrale non specificato"
"I640","Ictus, senza specificazione se da emorragia o da infarto"
"I650","Occlusione e stenosi dell'arteria vertebrale"
"I651","Occlusione e stenosi dell'arteria basilare"
"I652","Occlusione e stenosi dell'arteria carotidea"
"I653","Occlusione e stenosi di arterie extracraniche multiple e bilaterali"
"I658","Occlusione e stenosi di altre arterie extracraniche"
"I659","Occlusione e stenosi di un'arteria extracranica non specificata"
"I660","Occlusione e stenosi dell'arteria cerebrale media"
"I661","Occlusione e stenosi dell'arteria cerebrale anteriore"
"I662","Occlusione e stenosi dell'arteria cerebrale posteriore"
"I663","Occlusione e stenosi delle arterie cerebellari"
"I664","Occlusione e stenosi di arterie cerebrali multiple e bilaterali"
"I668","Occlusione e stenosi di altre arterie cerebrali"
"I669","Occlusione e stenosi di arteria cerebrale non specificate"
"I670","Dissezione di arterie cerebrali, senza rottura"
"I671","Aneurisma cerebrale senza rottura"
"I672","Aterosclerosi cerebrale"
"I673","Leucoencefalopatia vascolare progressiva"
"I674","Encefalopatia ipertensiva"
"I675","Malattia Moyamoya"
"I676","Trombosi non piogena del sistema venoso intracranico"
"I677","Arterite cerebrale non classificata altrove"
"I678","Altre malattie cerebrovascolari specificate"
"I679","Malattia cerebrovascolare non specificata"
"I680","Angiopatia cerebrale amiloide (E85   )"
"I681","Arterite cerebrale in malattie infettive e parassitarie classificate altrove"
"I682","Arterite cerebrale in altre malattie classificate altrove"
"I688","Altri disturbi cerebrovascolari in malattie classificate altrove"
"I690","Sequele di emorragia subaracnoidea"
"I691","Sequele di emorragia intracerebrale"
"I692","Sequele di altra forma di emorragia intracranica non traumatica"
"I693","Sequele di infarto cerebrale"
"I694","Sequele di ictus, senza specificazione se da emorragia o da infarto"
"I698","Sequele di altre e non specificate malattie cerebrovascolari"
"I700","Aterosclerosi dell'aorta"
"I701","Aterosclerosi dell'arteria renale"
"I702","Aterosclerosi delle arterie degli arti"
"I708","Aterosclerosi di altre arterie"
"I709","Aterosclerosi generalizzata e non specificata"
"I710","Dissezione dell'aorta (ogni localizzazione)"
"I711","Rottura di aneurisma dell'aorta toracica"
"I712","Aneurisma dell'aorta toracica, senza menzione di rottura"
"I713","Rottura di aneurisma dell'aorta addominale"
"I714","Aneurisma dell'aorta addominale, senza menzione di rottura"
"I715","Rottura di aneurisma dell'aorta toracoaddominale"
"I716","Aneurisma dell'aorta toracoaddominale, senza menzione di rottura"
"I718","Rottura di aneurisma aortico di sede non specificata"
"I719","Aneurisma aortico in sede non specificata, senza menzione di rottura"
"I720","Aneurisma dell'arteria carotide"
"I721","Aneurisma di un'arteria dell'arto superiore"
"I722","Aneurisma dell'arteria renale"
"I723","Aneurisma dell'arteria iliaca"
"I724","Aneurisma di un'arteria dell'arto inferiore"
"I728","Aneurisma di altre arterie specificate"
"I729","Aneurisma di sede non specificata"
"I730","Sindrome di Raynaud"
"I731","Tromboangioite obliterante (Buerger)"
"I738","Altre malattie vascolari periferiche specificate"
"I739","Malattia vascolare periferica non specificata"
"I740","Embolia e trombosi dell'aorta addominale"
"I741","Embolia e trombosi di altri e non specificati tratti dell'aorta"
"I742","Embolia e trombosi delle arterie degli arti"
"I743","Embolia e trombosi delle arterie degli arti"
"I744","Embolia e trombosi delle arterie degli arti non specificate"
"I745","Embolia e trombosi dell'arteria iliaca"
"I748","Embolia e trombosi di altre arterie"
"I749","Embolia e trombosi di arteria non specificata"
"I770","Fistola arterovenosa acquisita"
"I771","Stenosi di arteria"
"I772","Rottura di arteria"
"I773","Displasia fibromuscolare arteriosa"
"I774","Sindrome da compressione dell'arteria celiaca"
"I775","Necrosi di arteria"
"I776","Arterite non specificata"
"I778","Altri disturbi specificati di arterie e arteriole"
"I779","Disturbi di arterie e arteriole non specificati"
"I780","Teleangectasia emorragica ereditaria"
"I781","Nevo non neoplastico"
"I788","Altre malattie dei capillari"
"I789","Malattia dei capillari non specificata"
"I790","Aneurisma dell'aorta in malattie classificate altrove"
"I791","Aortite in malattie classificate altrove"
"I792","Angiopatia periferica in malattie classificate altrove"
"I798","Altri disturbi delle arterie, arteriole e capillari in malattie classificate altrove"
"I800","Flebite e tromboflebite dei vasi superficiali delle estremita' inferiori"
"I801","Flebite e tromboflebite della vena femorale"
"I802","Flebite e tromboflebite di altri vasi profondi degli arti inferiori"
"I803","Flebite e tromboflebite degli arti inferiori non specificate"
"I808","Flebite e tromboflebite di altre sedi"
"I809","Flebite e tromboflebite di sede non specificata"
"I810","Trombosi della vena porta"
"I820","Sindrome di Budd Chiari"
"I821","Tromboflebite migrante"
"I822","Embolia e trombosi della vena cava"
"I823","Embolia e trombosi della vena renale"
"I828","Embolia e trombosi di altre vene specificate"
"I829","Embolia e trombosi venosa di sede non specificata"
"I830","Varici (venose) delle estremita' inferiori con ulcera"
"I831","Varici (venose) delle estremita' inferiori con infiammazione"
"I832","Varici (venose) delle estremita' inferiori con ulcera e infiammazione"
"I839","Varici (venose) delle estremita' inferiori senza ulcera o infiammazione"
"I840","Emorroidi interne trombizzate"
"I841","Emorroidi interne con altre complicanze"
"I842","Emorroidi interne senza complicanze"
"I843","Emorroidi esterne trombizzate"
"I844","Emorroidi esterne con altre complicanze"
"I845","Emorroidi esterne senza complicanze"
"I846","Polipi fibrosi emorroidari residui"
"I847","Emorroidi trombizzate non specificate"
"I848","Emorroidi non specificate con altre complicanze"
"I849","Emorroidi non specificate senza complicanze"
"I850","Varici esofagee con sanguinamento"
"I859","Varici esofagee senza sanguinamento"
"I860","Varici sottolinguali"
"I861","Varici scrotali"
"I862","Varici pelviche"
"I863","Varici vulvari"
"I864","Varici gastriche"
"I868","Varici (venose) di altre sedi specificate"
"I870","Sindrome post flebitica"
"I871","Compressione venosa"
"I872","Insufficienza venosa (cronica) (periferica)"
"I878","Altri disturbi specificati delle vene"
"I879","Disturbi venosi non specificati"
"I880","Linfadenite mesenterica non specifica"
"I881","Linfadenite cronica, diversa dalla mesenterica"
"I888","Altre forme di linfadenite non specifica"
"I889","Linfadenite non specifica non specificata"
"I890","Linfedema non classificato altrove"
"I891","Linfangite"
"I898","Altri disturbi non infettivi specificati dei vasi linfatici e dei linfonodi"
"I899","Disturbi non infettivi dei vasi linfatici e dei linfonodi non specificati"
"I950","Ipotensione idiopatica"
"I951","Ipotensione ortostatica"
"I952","Ipotensione da farmaci"
"I958","Altre forme di ipotensione"
"I959","Ipotensione non specificata"
"I970","Sindrome post cardiotomica"
"I971","Altri disturbi funzionali successivi ad interventi cardiochirurgici"
"I972","Sindrome linfedematosa post mastectomia"
"I978","Altri disturbi del sistema circolatorio successivi a procedure diagnostiche o"
"I979","Disturbo del sistema circolatorio successivo a procedura diagnostica o"
"I980","Sifilide cardiovascolare"
"I981","Disturbi cardiovascolari in altre malattie infettive e parassitarie classificate "
"I982","Varici esofagee in malattie classificate altrove"
"I988","Altri disturbi specificati del sistema circolatorio in malattie classificate altrove"
"I990","Altri e non specificati disturbi del sistema circolatorio"
"J000","Rinofaringite acuta (raffreddore comune)"
"J010","Sinusite mascellare acuta"
"J011","Sinusite frontale acuta"
"J012","Sinusite etmoidale acuta"
"J013","Sinusite sfenoidale acuta"
"J014","Pansinusite acuta"
"J018","Altra sinusite acuta"
"J019","Sinusite acuta non specificata"
"J020","Faringite streptococcica"
"J028","Faringite acuta da altri microorganismi specificati"
"J029","Faringite acuta non specificata"
"J030","Tonsillite streptococcica"
"J038","Tonsillite acuta da altri microorganismi specificati"
"J039","Tonsillite acuta non specificata"
"J040","Laringite acuta"
"J041","Tracheite acuta"
"J042","Laringotracheite acuta"
"J050","Laringite ostruttiva acuta (croup) S A I "
"J051","Epiglottite acuta"
"J060","Laringofaringite acuta"
"J068","Altre infezioni acute delle alte vie respiratorie a localizzazioni multiple"
"J069","Infezione acuta delle alte vie respiratorie non specificata"
"J100","Influenza  con polmonite, virus influenzale identificato"
"J101","Influenza  con altre manifestazioni respiratorie, virus influenzale identificato"
"J108","Influenza con altre manifestazioni, virus influenzale identificato"
"J110","Influenza  con polmonite, virus non identificato"
"J111","Influenza  con altre manifestazioni respiratorie, virus non identificato"
"J118","Influenza con altre manifestazioni, virus non identificato"
"J120","Polmonite da adenovirus"
"J121","Polmonite da virus sinciziale respiratorio"
"J122","Polmonite da virus parainfluenzale"
"J128","Altre polmoniti virali"
"J129","Polmonite virale non specificata"
"J130","Polmonite da Streptococcus pneumoniae"
"J140","Polmonite da Haemophilus influenzae"
"J150","Polmonite da Klebsiella pneumoniae"
"J151","Polmonite da Pseudomonas"
"J152","Polmonite da stafilococco"
"J153","Polmonite da streptococco di gruppo B"
"J154","Polmonite da  altri streptococchi"
"J155","Polmonite da Escherichia coli"
"J156","Polmonite da  altri batteri aerobi Gram negativi"
"J157","Polmonite da Mycoplasma pneumoniae"
"J158","Altra polmonite batterica"
"J159","Polmonite  batterica non specificata"
"J160","Polmonite da Chlamydiae"
"J168","Polmonite da altri microorganismi infettivi specificati"
"J170","Polmonite in malattie batteriche classificate altrove"
"J171","Polmonite in malattie  virali classificate altrove"
"J172","Polmonite in micosi"
"J173","Polmonite in malattie parassitarie"
"J178","Polmonite in altre malattie classificate altrove"
"J180","Broncopolmonite non specificata"
"J181","Polmonite lobare non specificata"
"J182","Polmonite ipostatica non specificata"
"J188","Altre polmoniti da microorganismi non specificati"
"J189","Polmonite non specificata"
"J200","Bronchite acuta da Mycoplasma pneumoniae"
"J201","Bronchite acuta da Haemophilus influenzae"
"J202","Bronchite acuta da streptococchi"
"J203","Bronchite acuta da virus Coxackie"
"J204","Bronchite acuta da  virus parainfluenzale"
"J205","Bronchite acuta da virus respiratorio sinciziale"
"J206","Bronchite acuta da  rhinovirus"
"J207","Bronchite acuta da  echovirus"
"J208","Bronchite acuta da altri microorganismi specificati"
"J209","Bronchite acuta non specificata"
"J210","Bronchiolite acuta da virus respiratorio sinciziale"
"J218","Bronchiolite acuta da  altri microorganismi specificati"
"J219","Bronchiolite acuta non specificata"
"J220","Infezione  acuta delle basse vie respiratorie non specificata"
"J300","Rinite vasomotoria"
"J301","Rinite allergica da polline"
"J302","Altra rinite allergica stagionale"
"J303","Altra rinite allergica"
"J304","Rinite allergica non specificata"
"J310","Rinite cronica"
"J311","Rinofaringite cronica"
"J312","Faringite cronica"
"J320","Sinusite mascellare cronica"
"J321","Sinusite frontale cronica"
"J322","Sinusite etmoidale cronica"
"J323","Sinusite sfenoidale cronica"
"J324","Pansinusite cronica"
"J328","Altra sinusite cronica"
"J329","Sinusite cronica non specificata"
"J330","Polipo della cavita' nasale"
"J331","Degenerazione polipoide di seno paranasale"
"J338","Altro polipo di seno paranasale"
"J339","Polipo nasale non specificato"
"J340","Ascesso, favo e foruncolo del naso"
"J341","Cisti e mucocele del naso e di seno paranasale"
"J342","Deviazione del setto nasale"
"J343","Ipertrofia dei turbinati nasali"
"J348","Altri disturbi specificati del naso e dei seni paranasali"
"J350","Tonsillite cronica"
"J351","Ipertrofia delle tonsille"
"J352","Ipertrofia delle adenoidi"
"J353","Ipertrofia delle tonsille con ipertrofia delle adenoidi"
"J358","Altre malattie croniche delle tonsille e delle adenoidi"
"J359","Malattia cronica delle tonsille e delle adenoidi non specificata"
"J360","Ascesso peritonsillare"
"J370","Laringite cronica"
"J371","Laringotracheite cronica"
"J380","Paralisi delle corde vocali e della laringe"
"J381","Polipo delle corde vocali e della laringe"
"J382","Noduli delle corde vocali"
"J383","Altre malattie delle corde vocali"
"J384","Edema della laringe"
"J385","Spasmo della laringe"
"J386","Stenosi della laringe"
"J387","Altre malattie della laringe"
"J390","Ascesso retrofaringeo e parafaringeo"
"J391","Altro ascesso della faringe"
"J392","Altre malattie della faringe"
"J393","Reazione di ipersensibilita' delle alte vie respiratorie, sede non specificata"
"J398","Altre malattie specificate delle alte vie respiratorie"
"J399","Malattia delle alte vie respiratorie non specificata"
"J400","Bronchite non specificata come acuta o cronica"
"J410","Bronchite cronica semplice"
"J411","Bronchite cronica mucopurulenta"
"J418","Bronchite cronica mista, semplice e mucopurulenta"
"J420","Bronchite cronica  non specificata"
"J430","Sindrome di MacLeod"
"J431","Enfisema panlobulare"
"J432","Enfisema centrolobulare"
"J438","Altra forma di enfisema"
"J439","Enfisema non specificato"
"J440","Pneumopatia ostruttiva cronica con infezione acuta delle basse vie respiratorie"
"J441","Pneumopatia ostruttiva cronica con esacerbazione acuta, non specificata"
"J448","Altra pneumopatia ostruttiva cronica specificata"
"J449","Pneumopatia ostruttiva cronica non specificata"
"J450","Asma preminentemente allergico"
"J451","Asma non allergico"
"J458","Asma misto"
"J459","Asma non specificato"
"J460","Stato di male astmatico"
"J470","Bronchiectasia"
"J600","Pneumoconiosi dei lavoratori del carbone"
"J610","Pneumoconiosi da asbesto (amianto) ed altri minerali di natura  fibrosa"
"J620","Pneumoconiosi da polvere di talco"
"J628","Pneumoconiosi da altre polveri contenenti silice"
"J630","Alluminosi (del polmone)"
"J631","Fibrosi da bauxite (del polmone)"
"J632","Berilliosi"
"J633","Fibrosi da grafite (del polmone)"
"J634","Siderosi"
"J635","Stannosi (del polmone)"
"J638","Pneumoconiosi da altre polveri inorganiche specificate"
"J640","Pneumoconiosi  non specificata"
"J650","Pneumoconiosi associata a tubercolosi"
"J660","Bissinosi"
"J661","Malattia dei cardatori di lino"
"J662","Cannabinosi"
"J668","Malattia delle vie aeree causata  da altre polveri organiche specifiche"
"J670","Polmone del contadino"
"J671","Bagassosi"
"J672","Polmone degli allevatori di uccelli"
"J673","Suberosi"
"J674","Polmone dei lavoratori del malto"
"J675","Polmone dei lavoratori di funghi"
"J676","Polmone degli scortecciatori d’acero"
"J677","Polmone da condizionatore ed umidificatore d’aria"
"J678","Polmoniti da ipersensibilita' ad altre polveri organiche"
"J679","Polmonite da ipersensibilita' a polvere organica non specificata"
"J680","Bronchite e polmonite da sostanze chimiche, gas, fumi e vapori"
"J681","Edema polmonare acuto da sostanze chimiche, gas, fumi e vapori"
"J682","Infiammazione delle alte vie respiratorie da sostanze chimiche, gas, fumi e vapori, non classificata altrove"
"J683","Altre condizioni morbose acute e subacute dell’apparato respiratorio da sostanze chimiche, gas, fumi e vapori"
"J684","Condizioni morbose respiratorie croniche da sostanze chimiche, gas, fumi e vapori"
"J688","Altre condizioni morbose respiratorie da sostanze chimiche, gas, fumi e vapori"
"J689","Condizione morbosa respiratoria da sostanze chimiche, gas, fumi e vapori, non specificata"
"J690","Polmonite da cibo o vomito"
"J691","Polmonite da oli o essenze"
"J698","Polmonite da altre sostanze solide o liquide"
"J700","Manifestazioni polmonari acute da radiazioni"
"J701","Manifestazioni polmonari croniche ed altre, da radiazioni"
"J702","Pneumopatia interstiziale acuta indotta da farmaco"
"J703","Pneumopatia interstiziale cronica indotta da farmaco"
"J704","Disturbo polmonare interstiziale indotto da farmaco, non specificato"
"J708","Condizioni morbose respiratorie da altri agenti esterni specificati"
"J709","Condizioni morbose respiratorie da agenti esterni non specificati"
"J800","Sindrome da difficolta' (distress) respiratoria(o) dell’adulto (ARDS)"
"J810","Edema polmonare"
"J820","Eosinofilia polmonare non classificata altrove"
"J840","Condizioni morbose alveolari e parietoalveolari"
"J841","Altre pneumopatie  interstiziali con fibrosi"
"J848","Altre malattie polmonari interstiziali specificate"
"J849","Malattie polmonari interstiziali non specificate"
"J850","Gangrena e necrosi del polmone"
"J851","Ascesso del polmone con polmonite"
"J852","Ascesso del polmone senza polmonite"
"J853","Ascesso del mediastino"
"J860","Piotorace con fistola"
"J869","Piotorace senza fistola"
"J900","Versamento pleurico non classificato altrove"
"J910","Versamento pleurico in condizioni morbose classificate altrove"
"J920","Placca pleurica con presenza di asbesto"
"J929","Placca pleurica senza presenza di asbesto"
"J930","Pneumotorace spontaneo ipertensivo"
"J931","Altro pneumotorace spontaneo"
"J938","Altro pneumotorace"
"J939","Pneumotorace non specificato"
"J940","Versamento chiloso"
"J941","Fibrotorace"
"J942","Emotorace"
"J948","Altre condizioni morbose della pleura, specificate"
"J949","Condizione morbosa della pleura, non specificata"
"J950","Malfunzionamento di tracheostomia"
"J951","Insufficienza polmonare acuta successiva a intervento chirurgico toracico"
"J952","Insufficienza polmonare acuta successiva a intervento chirurgico non toracico"
"J953","Insufficienza polmonare cronica dopo intervento chirurgico"
"J954","Sindrome di Mendelson"
"J955","Stenosi subglottidea iatrogena"
"J958","Altri disturbi respiratori iatrogeni"
"J959","Disturbo respiratoro iatrogeno non specificato"
"J960","Insufficienza respiratoria acuta"
"J961","Insufficienza respiratoria cronica"
"J969","Insufficienza respiratoria  non specificata"
"J980","Malattie dei bronchi non classificate altrove"
"J981","Collasso polmonare"
"J982","Enfisema interstiziale"
"J983","Enfisema compensatorio"
"J984","Altri disturbi del polmone"
"J985","Malattie del mediastino non classificate altrove"
"J986","Disturbi del diaframma"
"J988","Altri disturbi respiratori specificati"
"J989","Disturbo respiratorio non specificato"
"J990","Malattia polmonare reumatoide (M05 1 )"
"J991","Disturbi respiratori in altre connettiviti sistemiche classificate altrove"
"J998","Disturbi respiratori in altre malattie classificate altrove"
"K000","Anodontia"
"K001","Denti soprannumerari"
"K002","Anomalie di forma e volume"
"K003","Discromie dentali"
"K004","Anomalie nella formazione dei denti"
"K005","Anomalie ereditarie della struttura dei denti non classificate altrove"
"K006","Anomalie dell'eruzione dentaria"
"K007","Sindrome della dentizione"
"K008","Altri disturbi dello sviluppo dei denti"
"K009","Disturbo dello sviluppo dei denti non specificato"
"K010","Denti inclusi (“embedded”)"
"K011","Dente ritenuto (“impacted”)"
"K020","Carie limitata allo smalto"
"K021","Carie della dentina"
"K022","Carie del cemento"
"K023","Carie dentaria arrestata nel suo decorso"
"K024","Odontoclasia"
"K028","Altre carie dentarie"
"K029","Carie dentaria non specificata"
"K030","Attrito eccessivo dei denti"
"K031","Abrasione dentale"
"K032","Erosione dentale"
"K033","Riassorbimento patologico dei denti"
"K034","Ipercementosi"
"K035","Anchilosi dei denti"
"K036","Depositi (accrezioni) dentali"
"K037","Modificazioni post eruttive del colore dei tessuti duri dentali"
"K038","Altre malattie specificate dei tessuti duri dentali"
"K039","Malattia dei tessuti duri dentali non specificata"
"K040","Pulpite"
"K041","Necrosi della polpa"
"K042","Degenerazione della polpa"
"K043","Formazione di tessuto duro anormale nella polpa"
"K044","Periodontite apicale acuta di origine pulpare"
"K045","Periodontite apicale cronica"
"K046","Ascesso periapicale con fistola"
"K047","Ascesso periapicale senza fistola"
"K048","Cisti radicolare"
"K049","Altre e non specificate malattie della polpa e dei tessuti periapicali"
"K050","Gengivite acuta"
"K051","Gengivite cronica"
"K052","Periodontite acuta"
"K053","Periodontite cronica"
"K054","Periodontosi"
"K055","Altre periodontopatie"
"K056","Periodontopatia non specificata"
"K060","Retrazione gengivale"
"K061","Iperplasia gengivale"
"K062","Lesioni della gengiva e della cresta alveolare edentula associate a traumatismi"
"K068","Altri disturbi, specificati, della gengiva e della cresta alveolare edentula"
"K069","Malattia della gengiva e della cresta alveolare edentula, non specificata"
"K070","Gravi anomalie di dimensione dei mascellari"
"K071","Anomalie dei rapporti tra mascellari e base del cranio"
"K072","Anomalie dei rapporti delle arcate dentarie"
"K073","Anomalie di posizione dei denti"
"K074","Malocclusione non specificata"
"K075","Anomalie odontofacciali funzionali"
"K076","Disturbi dell'articolazione temporo mandibolare"
"K078","Altre anomalie odontofacciali"
"K079","Anomalia odontofacciale non specificata"
"K080","Disgregazione dei denti da cause sistemiche"
"K081","Perdita di denti da accidente, estrazione o periodontopatie locali"
"K082","Atrofia della cresta alveolare edentula"
"K083","Ritenzione di radice dentale"
"K088","Altri disturbi specificati dei denti e delle loro strutture di sostegno"
"K089","Disturbo dei denti e delle loro strutture di sostegno, non specificato"
"K090","Cisti odontogene legate allo sviluppo"
"K091","Cisti dello sviluppo (non odontogene) della regione orale"
"K092","Altre cisti dei mascellari"
"K098","Altre cisti della regione orale non classificate altrove"
"K099","Cisti della regione orale non specificata"
"K100","Disturbi di sviluppo dei mascellari"
"K101","Granuloma a cellule giganti, centrale"
"K102","Malattie infiammatorie dei mascellari"
"K103","Alveolite"
"K108","Altre malattie specificate dei mascellari"
"K109","Malattia dei mascellari non specificata"
"K110","Atrofia di ghiandola salivare"
"K111","Ipertrofia di ghiandola salivare"
"K112","Scialoadenite"
"K113","Ascesso di ghiandola salivare"
"K114","Fistola di ghiandola salivare"
"K115","Scialolitiasi"
"K116","Mucocele di ghiandola salivare"
"K117","Disturbi della secrezione salivare"
"K118","Altre malattie delle ghiandole salivari"
"K119","Malattia delle ghiandole salivari, non specificata"
"K120","Afte orali ricorrenti"
"K121","Altri tipi di stomatite"
"K122","Cellulite ed ascesso della bocca"
"K130","Malattie delle labbra"
"K131","Morsicatura della guancia e del labbro"
"K132","Leucoplachia ed altre alterazioni dell'epitelio orale, inclusa la lingua"
"K133","Tricoleucoplachia"
"K134","Granuloma e lesioni simil granulomatose della mucosa orale"
"K135","Fibrosi orale sottomucosa"
"K136","Iperplasia irritativa della mucosa orale"
"K137","Altre e non specificate lesioni della mucosa orale"
"K140","Glossite"
"K141","Lingua a carta geografica"
"K142","Glossite romboide mediana"
"K143","Ipertrofia delle papille linguali"
"K144","Atrofia delle papille linguali"
"K145","Lingua plicata"
"K146","Glossodinia"
"K148","Altre malattie della lingua"
"K149","Malattia della lingua non specificata"
"K200","Esofagite"
"K210","Malattia da reflusso gastroesofageo con esofagite"
"K219","Malattia da reflusso gastroesofageo senza esofagite"
"K220","Acalasia cardiale"
"K221","Ulcera dell'esofago"
"K222","Ostruzione esofagea"
"K223","Perforazione dell'esofago"
"K224","Discinesia esofagea"
"K225","Diverticolo dell'esofago, acquisito"
"K226","Sindrome da lacerazione emorragica gastroesofagea"
"K228","Altre malattie specificate dell'esofago"
"K229","Malattia dell'esofago non specificata"
"K230","Esofagite tubercolare (A18 8 )"
"K231","Megaesofago in malattia di Chagas (B57 3 )"
"K238","Disturbi dell'esofago in altre malattie classificate altrove"
"K250","Acuta con emorragia"
"K251","Acuta con perforazione"
"K252","Acuta con emorragia e perforazione"
"K253","Acuta senza emorragia o perforazione"
"K254","Cronica o non specificata con emorragia"
"K255","Cronica o non specificata con perforazione"
"K256","Cronica o non specificata con emorragia e perforazione"
"K257","Cronica senza emorragia o perforazione"
"K259","Non specificata se acuta o cronica, senza emorragia o perforazione"
"K260","Acuta con emorragia"
"K261","Acuta con perforazione"
"K262","Acuta con emorragia e perforazione"
"K263","Acuta senza emorragia o perforazione"
"K264","Cronica o non specificata con emorragia"
"K265","Cronica o non specificata con perforazione"
"K266","Cronica o non specificata con emorragia e perforazione"
"K267","Cronica senza emorragia o perforazione"
"K269","Non specificata se acuta o cronica, senza emorragia o perforazione"
"K270","Acuta con emorragia"
"K271","Acuta con perforazione"
"K272","Acuta con emorragia e perforazione"
"K273","Acuta senza emorragia o perforazione"
"K274","Cronica o non specificata con emorragia"
"K275","Cronica o non specificata con perforazione"
"K276","Cronica o non specificata con emorragia e perforazione"
"K277","Cronica senza emorragia o perforazione"
"K279","Non specificata se acuta o cronica, senza emorragia o perforazione"
"K280","Acuta con emorragia"
"K281","Acuta con perforazione"
"K282","Acuta con emorragia e perforazione"
"K283","Acuta senza emorragia o perforazione"
"K284","Cronica o non specificata con emorragia"
"K285","Cronica o non specificata con perforazione"
"K286","Cronica o non specificata con emorragia e perforazione"
"K287","Cronica senza emorragia o perforazione"
"K289","Non specificata se acuta o cronica, senza emorragia o perforazione"
"K290","Gastrite emorragica acuta"
"K291","Altra gastrite acuta"
"K292","Gastrite alcolica"
"K293","Gastrite superficiale cronica"
"K294","Gastrite atrofica cronica"
"K295","Gastrite cronica non specificata"
"K296","Altra gastrite"
"K297","Gastrite non specificata"
"K298","Duodenite"
"K299","Gastroduodenite non specificata"
"K300","Dispepsia"
"K310","Dilatazione acuta dello stomaco"
"K311","Stenosi pilorica ipertrofica dell'adulto"
"K312","Stomaco a clessidra e stenosi dello stomaco"
"K313","Pilorospasmo non classificato altrove"
"K314","Diverticolo gastrico"
"K315","Ostruzione del duodeno"
"K316","Fistola dello stomaco e del duodeno"
"K317","Polipo dello stomaco e del duodeno"
"K318","Altre malattie specificate dello stomaco e del duodeno"
"K319","Malattia dello stomaco e del duodeno non specificata"
"K350","Appendicite acuta con peritonite generalizzata"
"K351","Appendicite acuta con ascessso peritoneale"
"K359","Appendicite acuta non specificata"
"K360","Altre forme di appendicite"
"K370","Appendicite non specificata"
"K380","Iperplasia dell'appendice"
"K381","Concrezioni appendicolari"
"K382","Diverticolo dell'apppendice"
"K383","Fistola dell'appendice"
"K388","Altre malattie specificate dell'appendice"
"K389","Malattia dell'appendice non specificata"
"K400","Ernia inguinale bilaterale, con occlusione, senza gangrena"
"K401","Ernia inguinale bilaterale, con gangrena"
"K402","Ernia inguinale bilaterale, senza occlusione o gangrena"
"K403","Ernia inguinale (unilaterale) o non specificata, con occlusione, senza gangrena"
"K404","Ernia inguinale unilaterale o non specificata, con gangrena"
"K409","Ernia inguinale unilaterale o non specificata, senza occlusione o gangrena"
"K410","Ernia femorale bilaterale, con occlusione, senza gangrena"
"K411","Ernia femorale bilaterale, con gangrena"
"K412","Ernia femorale bilaterale, senza occlusione o gangrena"
"K413","Ernia femorale unilaterale o non specificata, con occlusione, senza gangrena"
"K414","Ernia femorale unilaterale o non specificata, con gangrena"
"K419","Ernia femorale unilaterale o non specificata, senza occlusione o gangrena"
"K420","Ernia ombelicale con occlusione, senza gangrena"
"K421","Ernia ombelicale con gangrena"
"K429","Ernia ombelicale senza occlusione o gangrena"
"K430","Ernia addominale con occlusione, senza gangrena"
"K431","Ernia addominale con gangrena"
"K439","Ernia addominale senza occlusione o gangrena"
"K440","Ernia diaframmatica con occlusione, senza gangrena"
"K441","Ernia diaframmatica con gangrena"
"K449","Ernia diaframmatica senza occlusione o gangrena"
"K450","Altra ernia addominale specificata, con ostruzione, senza gangrena"
"K451","Altra ernia addominale specificata, con gangrena"
"K458","Altra ernia addominale specificata, senza occlusione o gangrena"
"K460","Ernia addominale non specificata, con occlusione, senza gangrena"
"K461","Ernia addominale non specificata, con gangrena"
"K469","Ernia addominale non specificata, senza occlusione o gangrena"
"K500","Morbo di Crohn dell’intestino tenue"
"K501","Morbo di Crohn del colon"
"K508","Altra forma di morbo di Crohn"
"K509","Morbo di Crohn non specificato"
"K510","Enterocolite ulcerosa (cronica)"
"K511","Ileocolite ulcerosa (cronica)"
"K512","Proctite ulcerosa (cronica)"
"K513","Rettosigmoidite ulcerosa (cronica)"
"K514","Pseudopoliposi del colon"
"K515","Rettocolite mucosa"
"K518","Altra colite ulcerosa"
"K519","Colite ulcerosa non specificata"
"K520","Gastroenterite e colite da radiazioni"
"K521","Gastroenterite e colite tossiche"
"K522","Gastroenterite e colite allergiche e alimentari"
"K528","Altre gastroenteriti e coliti non infettive specificate"
"K529","Gastroenterite e colite non infettive, non specificate"
"K550","Disturbo vascolare acuto dell'intestino"
"K551","Disturbo vascolare cronico dell'intestino"
"K552","Angiodisplasia del colon"
