"A00","Cholera"
"M7388","Sonstige Krankheiten des Weichteilgewebes bei sonstigen anderenorts klassifizierten Krankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M7389","Sonstige Krankheiten des Weichteilgewebes bei sonstigen anderenorts klassifizierten Krankheiten: Nicht näher bezeichnete Lokalisation"
"M75","Schulterläsionen"
"M750","Adhäsive Entzündung der Schultergelenkkapsel"
"M751","Läsionen der Rotatorenmanschette"
"M752","Tendinitis des M. biceps brachii"
"M753","Tendinitis calcarea im Schulterbereich"
"M754","Impingement-Syndrom der Schulter"
"M755","Bursitis im Schulterbereich"
"M756","Läsion des Labrums bei degenerativer Veränderung des Schultergelenkes"
"M758","Sonstige Schulterläsionen"
"M759","Schulterläsion, nicht näher bezeichnet"
"M76","Enthesopathien der unteren Extremität mit Ausnahme des Fußes"
"M760","Tendinitis der Glutäus-Sehne(n)"
"M761","Tendinitis der Iliopsoas-Sehne"
"M762","Knochensporn am Darmbeinkamm"
"M763","Tractus-iliotibialis-Scheuersyndrom [Iliotibial band syndrome]"
"M764","Bursitis im Bereich des Lig. collaterale tibiale [Stieda-Pellegrini]"
"M765","Tendinitis der Patellarsehne"
"M766","Tendinitis der Achillessehne"
"M767","Tendinitis der Peronäussehne(n)"
"M768","Sonstige Enthesopathien der unteren Extremität mit Ausnahme des Fußes"
"M769","Enthesopathie der unteren Extremität, nicht näher bezeichnet"
"M77","Sonstige Enthesopathien"
"M770","Epicondylitis ulnaris humeri"
"M771","Epicondylitis radialis humeri"
"M772","Periarthritis im Bereich des Handgelenkes"
"M773","Kalkaneussporn"
"M774","Metatarsalgie"
"M775","Sonstige Enthesopathie des Fußes"
"M778","Sonstige Enthesopathien, anderenorts nicht klassifiziert"
"M779","Enthesopathie, nicht näher bezeichnet"
"M79","Sonstige Krankheiten des Weichteilgewebes, anderenorts nicht klassifiziert"
"M790","Rheumatismus, nicht näher bezeichnet"
"M7900","Rheumatismus, nicht näher bezeichnet: Mehrere Lokalisationen"
"M7901","Rheumatismus, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M7902","Rheumatismus, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]"
"M7903","Rheumatismus, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]"
"M7904","Rheumatismus, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M7905","Rheumatismus, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M7906","Rheumatismus, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M7907","Rheumatismus, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M7908","Rheumatismus, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M7909","Rheumatismus, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation"
"M791","Myalgie"
"M7910","Myalgie: Mehrere Lokalisationen"
"M7911","Myalgie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M7912","Myalgie: Oberarm [Humerus, Ellenbogengelenk]"
"M7913","Myalgie: Unterarm [Radius, Ulna, Handgelenk]"
"M7914","Myalgie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M7915","Myalgie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M7916","Myalgie: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M7917","Myalgie: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M7918","Myalgie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M7919","Myalgie: Nicht näher bezeichnete Lokalisation"
"M792","Neuralgie und Neuritis, nicht näher bezeichnet"
"M7920","Neuralgie und Neuritis, nicht näher bezeichnet: Mehrere Lokalisationen"
"M7921","Neuralgie und Neuritis, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M7922","Neuralgie und Neuritis, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]"
"M7923","Neuralgie und Neuritis, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]"
"M7924","Neuralgie und Neuritis, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M7925","Neuralgie und Neuritis, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M7926","Neuralgie und Neuritis, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M7927","Neuralgie und Neuritis, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M7928","Neuralgie und Neuritis, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M7929","Neuralgie und Neuritis, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation"
"M793","Pannikulitis, nicht näher bezeichnet"
"M7930","Pannikulitis, nicht näher bezeichnet: Mehrere Lokalisationen"
"M7931","Pannikulitis, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M7932","Pannikulitis, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]"
"M7933","Pannikulitis, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]"
"M7934","Pannikulitis, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M7935","Pannikulitis, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M7936","Pannikulitis, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M7937","Pannikulitis, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M7938","Pannikulitis, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M7939","Pannikulitis, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation"
"M794","Hypertrophie des Corpus adiposum (infrapatellare) [Hoffa-Kastert-Syndrom]"
"M7946","Hypertrophie des Corpus adiposum (infrapatellare) [Hoffa-Kastert-Syndrom]: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M795","Verbliebener Fremdkörper im Weichteilgewebe"
"M7950","Verbliebener Fremdkörper im Weichteilgewebe: Mehrere Lokalisationen"
"M7951","Verbliebener Fremdkörper im Weichteilgewebe: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M7952","Verbliebener Fremdkörper im Weichteilgewebe: Oberarm [Humerus, Ellenbogengelenk]"
"M7953","Verbliebener Fremdkörper im Weichteilgewebe: Unterarm [Radius, Ulna, Handgelenk]"
"M7954","Verbliebener Fremdkörper im Weichteilgewebe: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M7955","Verbliebener Fremdkörper im Weichteilgewebe: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M7956","Verbliebener Fremdkörper im Weichteilgewebe: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M7957","Verbliebener Fremdkörper im Weichteilgewebe: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M7958","Verbliebener Fremdkörper im Weichteilgewebe: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M7959","Verbliebener Fremdkörper im Weichteilgewebe: Nicht näher bezeichnete Lokalisation"
"M796","Schmerzen in den Extremitäten"
"M7960","Schmerzen in den Extremitäten: Mehrere Lokalisationen"
"M7961","Schmerzen in den Extremitäten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M7962","Schmerzen in den Extremitäten: Oberarm [Humerus, Ellenbogengelenk]"
"M7963","Schmerzen in den Extremitäten: Unterarm [Radius, Ulna, Handgelenk]"
"M7964","Schmerzen in den Extremitäten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M7965","Schmerzen in den Extremitäten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M7966","Schmerzen in den Extremitäten: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M7967","Schmerzen in den Extremitäten: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M7969","Schmerzen in den Extremitäten: Nicht näher bezeichnete Lokalisation"
"M797","Fibromyalgie"
"M7970","Fibromyalgie: Mehrere Lokalisationen"
"M798","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes"
"M7980","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Mehrere Lokalisationen"
"M7981","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M7982","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Oberarm [Humerus, Ellenbogengelenk]"
"M7983","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Unterarm [Radius, Ulna, Handgelenk]"
"M7984","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M7985","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M7986","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M7987","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M7988","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M7989","Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Nicht näher bezeichnete Lokalisation"
"M799","Krankheit des Weichteilgewebes, nicht näher bezeichnet"
"M7990","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Mehrere Lokalisationen"
"M7991","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M7992","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]"
"M7993","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]"
"M7994","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M7995","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M7996","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M7997","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M7998","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M7999","Krankheit des Weichteilgewebes, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation"
"M80","Osteoporose mit pathologischer Fraktur"
"M800","Postmenopausale Osteoporose mit pathologischer Fraktur"
"M8000","Postmenopausale Osteoporose mit pathologischer Fraktur: Mehrere Lokalisationen"
"M8001","Postmenopausale Osteoporose mit pathologischer Fraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8002","Postmenopausale Osteoporose mit pathologischer Fraktur: Oberarm [Humerus, Ellenbogengelenk]"
"M8003","Postmenopausale Osteoporose mit pathologischer Fraktur: Unterarm [Radius, Ulna, Handgelenk]"
"M8004","Postmenopausale Osteoporose mit pathologischer Fraktur: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8005","Postmenopausale Osteoporose mit pathologischer Fraktur: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8006","Postmenopausale Osteoporose mit pathologischer Fraktur: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8007","Postmenopausale Osteoporose mit pathologischer Fraktur: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8008","Postmenopausale Osteoporose mit pathologischer Fraktur: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8009","Postmenopausale Osteoporose mit pathologischer Fraktur: Nicht näher bezeichnete Lokalisation"
"M801","Osteoporose mit pathologischer Fraktur nach Ovarektomie"
"M8010","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Mehrere Lokalisationen"
"M8011","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8012","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Oberarm [Humerus, Ellenbogengelenk]"
"M8013","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Unterarm [Radius, Ulna, Handgelenk]"
"M8014","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8015","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8016","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8017","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8018","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8019","Osteoporose mit pathologischer Fraktur nach Ovarektomie: Nicht näher bezeichnete Lokalisation"
"M802","Inaktivitätsosteoporose mit pathologischer Fraktur"
"M8020","Inaktivitätsosteoporose mit pathologischer Fraktur: Mehrere Lokalisationen"
"M8021","Inaktivitätsosteoporose mit pathologischer Fraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8022","Inaktivitätsosteoporose mit pathologischer Fraktur: Oberarm [Humerus, Ellenbogengelenk]"
"M8023","Inaktivitätsosteoporose mit pathologischer Fraktur: Unterarm [Radius, Ulna, Handgelenk]"
"M8024","Inaktivitätsosteoporose mit pathologischer Fraktur: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8025","Inaktivitätsosteoporose mit pathologischer Fraktur: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8026","Inaktivitätsosteoporose mit pathologischer Fraktur: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8027","Inaktivitätsosteoporose mit pathologischer Fraktur: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8028","Inaktivitätsosteoporose mit pathologischer Fraktur: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8029","Inaktivitätsosteoporose mit pathologischer Fraktur: Nicht näher bezeichnete Lokalisation"
"M803","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff"
"M8030","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Mehrere Lokalisationen"
"M8031","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8032","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Oberarm [Humerus, Ellenbogengelenk]"
"M8033","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Unterarm [Radius, Ulna, Handgelenk]"
"M8034","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8035","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8036","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8037","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8038","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8039","Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingriff: Nicht näher bezeichnete Lokalisation"
"M804","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur"
"M8040","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Mehrere Lokalisationen"
"M8041","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8042","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Oberarm [Humerus, Ellenbogengelenk]"
"M8043","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Unterarm [Radius, Ulna, Handgelenk]"
"M8044","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8045","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8046","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8047","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8048","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8049","Arzneimittelinduzierte Osteoporose mit pathologischer Fraktur: Nicht näher bezeichnete Lokalisation"
"M805","Idiopathische Osteoporose mit pathologischer Fraktur"
"M8050","Idiopathische Osteoporose mit pathologischer Fraktur: Mehrere Lokalisationen"
"M8051","Idiopathische Osteoporose mit pathologischer Fraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8052","Idiopathische Osteoporose mit pathologischer Fraktur: Oberarm [Humerus, Ellenbogengelenk]"
"M8053","Idiopathische Osteoporose mit pathologischer Fraktur: Unterarm [Radius, Ulna, Handgelenk]"
"M8054","Idiopathische Osteoporose mit pathologischer Fraktur: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8055","Idiopathische Osteoporose mit pathologischer Fraktur: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8056","Idiopathische Osteoporose mit pathologischer Fraktur: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8057","Idiopathische Osteoporose mit pathologischer Fraktur: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8058","Idiopathische Osteoporose mit pathologischer Fraktur: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8059","Idiopathische Osteoporose mit pathologischer Fraktur: Nicht näher bezeichnete Lokalisation"
"M808","Sonstige Osteoporose mit pathologischer Fraktur"
"M8080","Sonstige Osteoporose mit pathologischer Fraktur: Mehrere Lokalisationen"
"M8081","Sonstige Osteoporose mit pathologischer Fraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8082","Sonstige Osteoporose mit pathologischer Fraktur: Oberarm [Humerus, Ellenbogengelenk]"
"M8083","Sonstige Osteoporose mit pathologischer Fraktur: Unterarm [Radius, Ulna, Handgelenk]"
"M8084","Sonstige Osteoporose mit pathologischer Fraktur: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8085","Sonstige Osteoporose mit pathologischer Fraktur: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8086","Sonstige Osteoporose mit pathologischer Fraktur: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8087","Sonstige Osteoporose mit pathologischer Fraktur: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8088","Sonstige Osteoporose mit pathologischer Fraktur: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8089","Sonstige Osteoporose mit pathologischer Fraktur: Nicht näher bezeichnete Lokalisation"
"M809","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur"
"M8090","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Mehrere Lokalisationen"
"M8091","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8092","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Oberarm [Humerus, Ellenbogengelenk]"
"M8093","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Unterarm [Radius, Ulna, Handgelenk]"
"M8094","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8095","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8096","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8097","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8098","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8099","Nicht näher bezeichnete Osteoporose mit pathologischer Fraktur: Nicht näher bezeichnete Lokalisation"
"M81","Osteoporose ohne pathologische Fraktur"
"M810","Postmenopausale Osteoporose"
"M8100","Postmenopausale Osteoporose: Mehrere Lokalisationen"
"M8101","Postmenopausale Osteoporose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8102","Postmenopausale Osteoporose: Oberarm [Humerus, Ellenbogengelenk]"
"M8103","Postmenopausale Osteoporose: Unterarm [Radius, Ulna, Handgelenk]"
"M8104","Postmenopausale Osteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8105","Postmenopausale Osteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8106","Postmenopausale Osteoporose: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8107","Postmenopausale Osteoporose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8108","Postmenopausale Osteoporose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8109","Postmenopausale Osteoporose: Nicht näher bezeichnete Lokalisation"
"M811","Osteoporose nach Ovarektomie"
"M8110","Osteoporose nach Ovarektomie: Mehrere Lokalisationen"
"M8111","Osteoporose nach Ovarektomie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8112","Osteoporose nach Ovarektomie: Oberarm [Humerus, Ellenbogengelenk]"
"M8113","Osteoporose nach Ovarektomie: Unterarm [Radius, Ulna, Handgelenk]"
"M8114","Osteoporose nach Ovarektomie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8115","Osteoporose nach Ovarektomie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8116","Osteoporose nach Ovarektomie: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8117","Osteoporose nach Ovarektomie: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8118","Osteoporose nach Ovarektomie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8119","Osteoporose nach Ovarektomie: Nicht näher bezeichnete Lokalisation"
"M812","Inaktivitätsosteoporose"
"M8120","Inaktivitätsosteoporose: Mehrere Lokalisationen"
"M8121","Inaktivitätsosteoporose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8122","Inaktivitätsosteoporose: Oberarm [Humerus, Ellenbogengelenk]"
"M8123","Inaktivitätsosteoporose: Unterarm [Radius, Ulna, Handgelenk]"
"M8124","Inaktivitätsosteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8125","Inaktivitätsosteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8126","Inaktivitätsosteoporose: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8127","Inaktivitätsosteoporose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8128","Inaktivitätsosteoporose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8129","Inaktivitätsosteoporose: Nicht näher bezeichnete Lokalisation"
"M813","Osteoporose infolge Malabsorption nach chirurgischem Eingriff"
"M8130","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Mehrere Lokalisationen"
"M8131","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
